posteam,posteam_type,defteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,qtr,down,ydstogo,ydsnet,yards_gained,epa,wp,def_wp,wpa,vegas_wpa,pass_attempt,season,cp,cpoe,goal_to_go,air_yards,field_goal_attempt,field_goal_result,kick_distance,score_differential,no_score_prob,opp_fg_prob,opp_td_prob,fg_prob,td_prob,punt_blocked,punt_inside_twenty,touchback,punt_attempt,fourth_down_converted,touchdown
BUF,home,PIT,PIT,35.0,1254.0,1254.0,3.0,4.0,8.0,40.0,0.0,-2.9900508,0.8162032,0.18379682,-0.062406495,-0.07770927,1.0,2021,0.25896373,-25.896374,0,30.0,0.0,,,7.0,0.012108692,0.10998969,0.19491203,0.4188611,0.26014742,0.0,0.0,0.0,0.0,0.0,0.0
BUF,home,PIT,PIT,41.0,826.0,826.0,4.0,4.0,1.0,27.0,-7.0,-3.703265,0.75207937,0.24792063,-0.11212027,-0.077421844,0.0,2021,,,0,,0.0,,,4.0,0.06127962,0.1413361,0.21589123,0.19726159,0.37664938,0.0,0.0,0.0,0.0,0.0,0.0
BUF,home,PIT,BUF,64.0,139.0,139.0,4.0,4.0,10.0,40.0,14.0,2.2665362,0.012008272,0.98799175,0.0064930003,0.016332868,1.0,2021,0.49733818,50.266182,0,14.0,0.0,,,-10.0,0.6527082,0.051675778,0.108413994,0.049133908,0.13456236,0.0,0.0,0.0,0.0,1.0,0.0
IND,home,SEA,IND,72.0,4.0,1804.0,2.0,4.0,1.0,9.0,0.0,-0.012858778,0.14121461,0.8587854,0.0056520104,0.011323586,1.0,2021,,,0,32.0,0.0,,,-11.0,0.94521743,0.0032982943,0.013729302,0.023290668,0.00846596,0.0,0.0,0.0,0.0,0.0,0.0
IND,home,SEA,SEA,31.0,1116.0,1116.0,3.0,4.0,1.0,24.0,0.0,-3.704639,0.14955401,0.850446,-0.035890937,-0.033447146,0.0,2021,,,0,,0.0,,,-11.0,0.010730345,0.091579996,0.12761061,0.40950498,0.3587678,0.0,0.0,0.0,0.0,0.0,0.0
IND,home,SEA,SEA,18.0,600.0,600.0,4.0,4.0,2.0,59.0,-9.0,-4.105188,0.12013569,0.87986434,-0.072590135,-0.059608527,1.0,2021,,,0,,0.0,,,-11.0,0.019814251,0.02469798,0.03788835,0.7966588,0.12004314,0.0,0.0,0.0,0.0,0.0,0.0
DET,home,SF,SF,35.0,1626.0,3426.0,1.0,4.0,2.0,39.0,-1.0,-3.9391096,0.5518939,0.4481061,-0.074328244,-0.055542275,0.0,2021,,,0,,0.0,,,0.0,0.0035194568,0.095248036,0.16097665,0.40420178,0.3322238,0.0,0.0,0.0,0.0,0.0,0.0
DET,home,SF,SF,17.0,910.0,2710.0,1.0,4.0,1.0,82.0,7.0,1.6179304,0.34501404,0.65498596,0.09939724,0.030217595,1.0,2021,0.7871707,21.282928,0,3.0,0.0,,,-7.0,0.0097474465,0.040872723,0.056903355,0.49824923,0.39238137,0.0,0.0,0.0,0.0,1.0,0.0
DET,home,SF,SF,42.0,1523.0,1523.0,3.0,4.0,9.0,11.0,0.0,-0.29618102,0.046287198,0.9537128,-0.0013346076,-0.0009588497,0.0,2021,,,0,,0.0,,,-21.0,0.00582908,0.17766654,0.2871126,0.2092341,0.3078042,0.0,0.0,0.0,0.0,0.0,0.0
DET,home,SF,DET,66.0,1296.0,1296.0,3.0,4.0,1.0,75.0,6.0,2.4258902,0.0012052165,0.9987948,1.0525691e-05,0.000118287106,0.0,2021,,,0,,0.0,,,-28.0,0.01216548,0.18759295,0.30950236,0.14658114,0.3367002,0.0,0.0,0.0,0.0,1.0,0.0
